,AccountSubType,AccountType,AcctNum,Active,Classification,CurrencyRef,CurrentBalance,CurrentBalanceWithSubAccounts,Description,FullyQualifiedName,Id,MetaData,Name,SubAccount,SyncToken,domain,sparse
LastUpdatedTime,Insurance,Expense,,True,Expense,,0,0,,Insurance,101,2023-02-24T03:01:52-08:00,Insurance,False,0,QBO,False
name,Insurance,Expense,,True,Expense,United States Dollar,0,0,,Insurance - Liability,118,,Insurance - Liability,False,0,QBO,False
type,Insurance,Expense,,True,Expense,,0,0,,Insurance - Liability,118,,Insurance - Liability,False,0,QBO,False
value,Insurance,Expense,,True,Expense,USD,0,0,,Insurance - Liability,118,,Insurance - Liability,False,0,QBO,False
CreateTime,Insurance,Expense,,True,Expense,,0,0,,Insurance - Liability,118,2023-02-24T03:01:52-08:00,Insurance - Liability,False,0,QBO,False
LastUpdatedTime,Insurance,Expense,,True,Expense,,0,0,,Insurance - Liability,118,2023-02-24T03:01:52-08:00,Insurance - Liability,False,0,QBO,False
name,InterestEarned,Other Income,,True,Revenue,United States Dollar,0,0,,Interest Earned,115,,Interest Earned,False,0,QBO,False
type,InterestEarned,Other Income,,True,Revenue,,0,0,,Interest Earned,115,,Interest Earned,False,0,QBO,False
value,InterestEarned,Other Income,,True,Revenue,USD,0,0,,Interest Earned,115,,Interest Earned,False,0,QBO,False
CreateTime,InterestEarned,Other Income,,True,Revenue,,0,0,,Interest Earned,115,2023-02-24T03:01:52-08:00,Interest Earned,False,0,QBO,False
LastUpdatedTime,InterestEarned,Other Income,,True,Revenue,,0,0,,Interest Earned,115,2023-02-24T03:01:52-08:00,Interest Earned,False,0,QBO,False
name,LegalProfessionalFees,Expense,,True,Expense,United States Dollar,0,0,,Legal & Professional Fees,102,,Legal & Professional Fees,False,0,QBO,False
type,LegalProfessionalFees,Expense,,True,Expense,,0,0,,Legal & Professional Fees,102,,Legal & Professional Fees,False,0,QBO,False
value,LegalProfessionalFees,Expense,,True,Expense,USD,0,0,,Legal & Professional Fees,102,,Legal & Professional Fees,False,0,QBO,False
CreateTime,LegalProfessionalFees,Expense,,True,Expense,,0,0,,Legal & Professional Fees,102,2023-02-24T03:01:52-08:00,Legal & Professional Fees,False,0,QBO,False
LastUpdatedTime,LegalProfessionalFees,Expense,,True,Expense,,0,0,,Legal & Professional Fees,102,2023-02-24T03:01:52-08:00,Legal & Professional Fees,False,0,QBO,False
name,EntertainmentMeals,Expense,,True,Expense,United States Dollar,0,0,,Meals and Entertainment,103,,Meals and Entertainment,False,0,QBO,False
type,EntertainmentMeals,Expense,,True,Expense,,0,0,,Meals and Entertainment,103,,Meals and Entertainment,False,0,QBO,False
value,EntertainmentMeals,Expense,,True,Expense,USD,0,0,,Meals and Entertainment,103,,Meals and Entertainment,False,0,QBO,False
CreateTime,EntertainmentMeals,Expense,,True,Expense,,0,0,,Meals and Entertainment,103,2023-02-24T03:01:52-08:00,Meals and Entertainment,False,0,QBO,False
LastUpdatedTime,EntertainmentMeals,Expense,,True,Expense,,0,0,,Meals and Entertainment,103,2023-02-24T03:01:52-08:00,Meals and Entertainment,False,0,QBO,False
name,OtherMiscellaneousExpense,Other Expense,,True,Expense,United States Dollar,0,0,,Miscellaneous,104,,Miscellaneous,False,0,QBO,False
type,OtherMiscellaneousExpense,Other Expense,,True,Expense,,0,0,,Miscellaneous,104,,Miscellaneous,False,0,QBO,False
value,OtherMiscellaneousExpense,Other Expense,,True,Expense,USD,0,0,,Miscellaneous,104,,Miscellaneous,False,0,QBO,False
CreateTime,OtherMiscellaneousExpense,Other Expense,,True,Expense,,0,0,,Miscellaneous,104,2023-02-24T03:01:52-08:00,Miscellaneous,False,0,QBO,False
LastUpdatedTime,OtherMiscellaneousExpense,Other Expense,,True,Expense,,0,0,,Miscellaneous,104,2023-02-24T03:01:52-08:00,Miscellaneous,False,0,QBO,False
name,OfficeGeneralAdministrativeExpenses,Expense,,True,Expense,United States Dollar,0,0,,Office Expenses,105,,Office Expenses,False,0,QBO,False
type,OfficeGeneralAdministrativeExpenses,Expense,,True,Expense,,0,0,,Office Expenses,105,,Office Expenses,False,0,QBO,False
value,OfficeGeneralAdministrativeExpenses,Expense,,True,Expense,USD,0,0,,Office Expenses,105,,Office Expenses,False,0,QBO,False
CreateTime,OfficeGeneralAdministrativeExpenses,Expense,,True,Expense,,0,0,,Office Expenses,105,2023-02-24T03:01:52-08:00,Office Expenses,False,0,QBO,False
LastUpdatedTime,OfficeGeneralAdministrativeExpenses,Expense,,True,Expense,,0,0,,Office Expenses,105,2023-02-24T03:01:52-08:00,Office Expenses,False,0,QBO,False
name,OtherMiscellaneousIncome,Other Income,,True,Revenue,United States Dollar,0,0,,Other Portfolio Income,116,,Other Portfolio Income,False,0,QBO,False
type,OtherMiscellaneousIncome,Other Income,,True,Revenue,,0,0,,Other Portfolio Income,116,,Other Portfolio Income,False,0,QBO,False
value,OtherMiscellaneousIncome,Other Income,,True,Revenue,USD,0,0,,Other Portfolio Income,116,,Other Portfolio Income,False,0,QBO,False
CreateTime,OtherMiscellaneousIncome,Other Income,,True,Revenue,,0,0,,Other Portfolio Income,116,2023-02-24T03:01:52-08:00,Other Portfolio Income,False,0,QBO,False
LastUpdatedTime,OtherMiscellaneousIncome,Other Income,,True,Revenue,,0,0,,Other Portfolio Income,116,2023-02-24T03:01:52-08:00,Other Portfolio Income,False,0,QBO,False
name,PenaltiesSettlements,Other Expense,,True,Expense,United States Dollar,0,0,,Penalties & Settlements,117,,Penalties & Settlements,False,0,QBO,False
type,PenaltiesSettlements,Other Expense,,True,Expense,,0,0,,Penalties & Settlements,117,,Penalties & Settlements,False,0,QBO,False
value,PenaltiesSettlements,Other Expense,,True,Expense,USD,0,0,,Penalties & Settlements,117,,Penalties & Settlements,False,0,QBO,False
CreateTime,PenaltiesSettlements,Other Expense,,True,Expense,,0,0,,Penalties & Settlements,117,2023-02-24T03:01:52-08:00,Penalties & Settlements,False,0,QBO,False
LastUpdatedTime,PenaltiesSettlements,Other Expense,,True,Expense,,0,0,,Penalties & Settlements,117,2023-02-24T03:01:52-08:00,Penalties & Settlements,False,0,QBO,False
name,PrepaidExpenses,Other Current Asset,,True,Asset,United States Dollar,0,0,,Prepaid Expenses,91,,Prepaid Expenses,False,0,QBO,False
type,PrepaidExpenses,Other Current Asset,,True,Asset,,0,0,,Prepaid Expenses,91,,Prepaid Expenses,False,0,QBO,False
value,PrepaidExpenses,Other Current Asset,,True,Asset,USD,0,0,,Prepaid Expenses,91,,Prepaid Expenses,False,0,QBO,False
